Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-0.35,-0.52,-0.23,-0.3,-0.06,-0.16,-0.18,-0.25,-0.23,-0.31,-0.42,-0.38,-0.28,***,***,-0.2,-0.2,-0.32
1881,-0.3,-0.22,-0.01,0.01,0.04,-0.32,0.08,-0.04,-0.26,-0.43,-0.37,-0.23,-0.17,-0.18,-0.3,0.01,-0.09,-0.35
1882,0.27,0.23,0.03,-0.29,-0.22,-0.27,-0.26,-0.15,-0.25,-0.52,-0.33,-0.67,-0.2,-0.16,0.09,-0.16,-0.22,-0.36
1883,-0.56,-0.65,-0.15,-0.3,-0.25,-0.11,-0.05,-0.21,-0.32,-0.15,-0.44,-0.15,-0.28,-0.32,-0.63,-0.23,-0.12,-0.31
1884,-0.16,-0.11,-0.65,-0.59,-0.36,-0.41,-0.44,-0.5,-0.45,-0.45,-0.57,-0.47,-0.43,-0.4,-0.14,-0.53,-0.45,-0.49
1885,-1,-0.44,-0.22,-0.48,-0.58,-0.44,-0.33,-0.39,-0.39,-0.35,-0.37,-0.09,-0.42,-0.46,-0.64,-0.43,-0.39,-0.37
1886,-0.73,-0.82,-0.7,-0.36,-0.32,-0.37,-0.13,-0.42,-0.33,-0.3,-0.39,-0.19,-0.42,-0.41,-0.55,-0.46,-0.31,-0.34
1887,-1.07,-0.69,-0.43,-0.36,-0.24,-0.2,-0.23,-0.53,-0.19,-0.47,-0.26,-0.43,-0.43,-0.41,-0.65,-0.34,-0.32,-0.31
1888,-0.47,-0.59,-0.61,-0.2,-0.14,-0.02,0.01,-0.2,-0.19,-0.02,0,-0.23,-0.22,-0.24,-0.5,-0.32,-0.07,-0.07
1889,-0.26,0.31,-0.01,0.17,-0.03,-0.06,-0.07,-0.2,-0.3,-0.41,-0.62,-0.55,-0.17,-0.14,-0.06,0.04,-0.11,-0.44
1890,-0.64,-0.6,-0.47,-0.24,-0.36,-0.16,-0.23,-0.39,-0.35,-0.1,-0.64,-0.46,-0.39,-0.39,-0.6,-0.36,-0.26,-0.37
1891,-0.46,-0.69,-0.14,-0.35,-0.15,-0.12,-0.12,-0.12,-0.07,-0.27,-0.52,-0.03,-0.25,-0.29,-0.54,-0.22,-0.12,-0.29
1892,-0.48,-0.15,-0.66,-0.44,-0.23,-0.05,-0.38,-0.33,-0.19,-0.27,-0.82,-0.64,-0.39,-0.33,-0.22,-0.44,-0.25,-0.43
1893,-1.49,-0.94,-0.31,-0.29,-0.43,-0.18,-0.14,-0.33,-0.28,-0.27,-0.33,-0.61,-0.47,-0.47,-1.02,-0.34,-0.22,-0.29
1894,-0.9,-0.4,-0.19,-0.53,-0.25,-0.4,-0.2,-0.26,-0.32,-0.26,-0.48,-0.36,-0.38,-0.4,-0.64,-0.32,-0.29,-0.35
1895,-0.67,-0.8,-0.47,-0.17,-0.29,-0.21,-0.18,-0.27,-0.06,-0.08,-0.1,-0.21,-0.29,-0.3,-0.61,-0.31,-0.22,-0.08
1896,-0.34,-0.17,-0.48,-0.58,-0.16,0.08,0,-0.1,-0.12,0.06,-0.2,-0.21,-0.18,-0.18,-0.24,-0.4,0,-0.08
1897,-0.39,-0.4,-0.39,-0.05,0.14,-0.05,0.06,-0.05,-0.05,-0.14,-0.26,-0.27,-0.15,-0.15,-0.33,-0.1,-0.01,-0.15
1898,0.07,-0.43,-0.78,-0.26,-0.26,-0.07,-0.11,-0.16,-0.16,-0.35,-0.5,-0.25,-0.27,-0.27,-0.21,-0.43,-0.11,-0.34
1899,-0.11,-0.63,-0.56,-0.22,-0.24,-0.34,-0.16,-0.06,-0.04,0.04,0.37,-0.46,-0.2,-0.18,-0.33,-0.34,-0.19,0.12
1900,-0.61,-0.12,0.07,-0.1,-0.02,-0.09,-0.1,-0.08,-0.02,0.24,-0.12,-0.01,-0.08,-0.12,-0.39,-0.02,-0.09,0.03
