Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.20,-.34,-.06,-.41,-.17,-.02,-1.04,-.51,-.28,-.22,-.12,-.05,.05,.68
1881,-.11,-.21,-.02,-.35,.05,-.08,-.90,-.50,-.17,.02,.07,-.07,-.07,.60
1882,-.12,-.23,-.01,-.31,-.08,.02,-1.49,-.30,-.11,-.10,-.05,.01,.04,.63
1883,-.20,-.34,-.07,-.39,-.21,.00,-.38,-.63,-.24,-.25,-.17,-.03,.07,.51
1884,-.30,-.46,-.16,-.59,-.21,-.14,-1.34,-.62,-.43,-.24,-.19,-.20,-.02,.66
1885,-.32,-.42,-.24,-.61,-.16,-.26,-1.20,-.68,-.44,-.10,-.22,-.32,-.15,.83
1886,-.33,-.43,-.24,-.54,-.25,-.23,-1.27,-.50,-.43,-.25,-.26,-.23,-.20,.60
1887,-.36,-.42,-.30,-.48,-.33,-.28,-1.59,-.47,-.29,-.32,-.33,-.29,-.26,.33
1888,-.19,-.24,-.14,-.42,.07,-.30,-1.44,-.43,-.23,.06,.08,-.33,-.23,.17
1889,-.12,-.17,-.06,-.28,.04,-.17,-.77,-.19,-.23,-.01,.10,-.17,-.16,.46
1890,-.38,-.42,-.34,-.47,-.42,-.23,-1.21,-.54,-.28,-.35,-.50,-.19,-.28,.16
1891,-.24,-.28,-.22,-.42,-.13,-.22,-1.24,-.29,-.35,-.05,-.22,-.19,-.24,-.15
1892,-.28,-.39,-.17,-.42,-.31,-.08,-1.34,-.59,-.14,-.34,-.28,.01,-.22,.10
1893,-.33,-.47,-.20,-.49,-.40,-.08,-.95,-.51,-.38,-.43,-.37,.02,-.21,-.03
1894,-.32,-.40,-.25,-.35,-.36,-.25,-1.40,-.27,-.14,-.49,-.24,-.17,-.35,-.37
1895,-.24,-.30,-.17,-.40,-.09,-.27,-.98,-.46,-.21,-.15,-.04,-.22,-.32,-.58
1896,-.12,-.21,-.03,-.37,.09,-.16,-1.28,-.35,-.17,.05,.13,-.16,-.14,.26
1897,-.12,-.18,-.07,-.35,.13,-.24,-.76,-.39,-.22,.09,.18,-.21,-.28,.41
1898,-.29,-.30,-.28,-.33,-.27,-.27,-1.21,-.16,-.22,-.25,-.28,-.29,-.21,.38
1899,-.19,-.22,-.16,-.22,-.16,-.20,-1.07,.00,-.15,-.21,-.11,-.18,-.22,.59
1900,-.10,-.09,-.10,-.19,.13,-.31,-.60,-.08,-.15,.07,.19,-.31,-.29,.28
1901,-.16,-.11,-.21,-.13,-.07,-.32,-.55,-.03,-.09,-.07,-.07,-.30,-.34,.27
1902,-.30,-.34,-.26,-.51,-.10,-.36,-1.59,-.41,-.29,-.07,-.12,-.31,-.43,-.04
1903,-.39,-.39,-.40,-.46,-.34,-.40,-.48,-.38,-.51,-.27,-.40,-.39,-.40,-.47
1904,-.50,-.50,-.50,-.50,-.53,-.45,-.26,-.56,-.53,-.49,-.57,-.40,-.49,-1.29
